/var/spool/slurm/slurmd/job11400829/slurm_script: line 11: mmodule: command not found
Lmod has detected the following error: These module(s) or extension(s) exist
but cannot be loaded as requested: "Miniconda3/23.5.2-0"
   Try: "module spider Miniconda3/23.5.2-0" to see how to load the module(s).



wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: xiaweijie1996 (weijie_xia) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.9
wandb: Run data is saved locally in /gpfs/home4/wxia/TransformerEM-GMM/wandb/run-20250426_200040-5m8cskpn
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run lucky-universe-12
wandb: ⭐️ View project at https://wandb.ai/weijie_xia/timesnet_mmd
wandb: 🚀 View run at https://wandb.ai/weijie_xia/timesnet_mmd/runs/5m8cskpn
3516776
shape of data:  (10000, 250, 97)
Epoch 1, Sub-Epoch 151, Loss: 0.04412549361586571
Epoch 1, Sub-Epoch 152, Loss: 0.037082500755786896
Epoch 1, Sub-Epoch 153, Loss: 0.03940587490797043
Epoch 1, Sub-Epoch 154, Loss: 0.039592646062374115
Epoch 1, Sub-Epoch 155, Loss: 0.03637814521789551
Epoch 1, Sub-Epoch 156, Loss: 0.04056447371840477
Epoch 1, Sub-Epoch 157, Loss: 0.0344606414437294
Epoch 1, Sub-Epoch 158, Loss: 0.03561187908053398
Epoch 1, Sub-Epoch 159, Loss: 0.03993906080722809
Epoch 1, Sub-Epoch 160, Loss: 0.03721329942345619
Epoch 1, Sub-Epoch 161, Loss: 0.049171388149261475
Epoch 1, Sub-Epoch 162, Loss: 0.03806712478399277
Epoch 1, Sub-Epoch 163, Loss: 0.03889109939336777
Epoch 1, Sub-Epoch 164, Loss: 0.04008837789297104
Epoch 1, Sub-Epoch 165, Loss: 0.0525103360414505
Epoch 1, Sub-Epoch 166, Loss: 0.033391181379556656
Epoch 1, Sub-Epoch 167, Loss: 0.03702713921666145
Epoch 1, Sub-Epoch 168, Loss: 0.0433209165930748
Epoch 1, Sub-Epoch 169, Loss: 0.044432319700717926
Epoch 1, Sub-Epoch 170, Loss: 0.03740336745977402
Epoch 1, Sub-Epoch 171, Loss: 0.03291560709476471
Epoch 1, Sub-Epoch 172, Loss: 0.03418431058526039
Epoch 1, Sub-Epoch 173, Loss: 0.03859970346093178
Epoch 1, Sub-Epoch 174, Loss: 0.042017608880996704
Epoch 1, Sub-Epoch 175, Loss: 0.033644113689661026
Epoch 1, Sub-Epoch 176, Loss: 0.040833864361047745
Epoch 1, Sub-Epoch 177, Loss: 0.039513394236564636
Epoch 1, Sub-Epoch 178, Loss: 0.04183558002114296
Epoch 1, Sub-Epoch 179, Loss: 0.03938131406903267
Epoch 1, Sub-Epoch 180, Loss: 0.039630524814128876
Epoch 1, Sub-Epoch 181, Loss: 0.04686223343014717
Epoch 1, Sub-Epoch 182, Loss: 0.03532584011554718
Epoch 1, Sub-Epoch 183, Loss: 0.043012116104364395
Epoch 1, Sub-Epoch 184, Loss: 0.040617436170578
Epoch 1, Sub-Epoch 185, Loss: 0.04407752677798271
Epoch 1, Sub-Epoch 186, Loss: 0.04152415692806244
Epoch 1, Sub-Epoch 187, Loss: 0.04476569592952728
Epoch 1, Sub-Epoch 188, Loss: 0.03543657064437866
Epoch 1, Sub-Epoch 189, Loss: 0.03832843899726868
Epoch 1, Sub-Epoch 190, Loss: 0.03739882633090019
Epoch 1, Sub-Epoch 191, Loss: 0.03516966849565506
Epoch 1, Sub-Epoch 192, Loss: 0.03882650285959244
Epoch 1, Sub-Epoch 193, Loss: 0.03992362320423126
Epoch 1, Sub-Epoch 194, Loss: 0.037026435136795044
Epoch 1, Sub-Epoch 195, Loss: 0.04523375630378723
Epoch 1, Sub-Epoch 196, Loss: 0.03971926495432854
Epoch 1, Sub-Epoch 197, Loss: 0.04163616895675659
Epoch 1, Sub-Epoch 198, Loss: 0.03506579250097275
Epoch 1, Sub-Epoch 199, Loss: 0.044356826692819595
Epoch 1, Sub-Epoch 200, Loss: 0.03982223570346832
Epoch 1, Sub-Epoch 201, Loss: 0.038106001913547516
Epoch 1, Sub-Epoch 202, Loss: 0.04043595492839813
Epoch 1, Sub-Epoch 203, Loss: 0.03714201599359512
Epoch 1, Sub-Epoch 204, Loss: 0.04075968265533447
Epoch 1, Sub-Epoch 205, Loss: 0.03655583783984184
Epoch 1, Sub-Epoch 206, Loss: 0.04383827745914459
Epoch 1, Sub-Epoch 207, Loss: 0.04435000941157341
Epoch 1, Sub-Epoch 208, Loss: 0.04138009622693062
Epoch 1, Sub-Epoch 209, Loss: 0.03802839666604996
Epoch 1, Sub-Epoch 210, Loss: 0.046583350747823715
Epoch 1, Sub-Epoch 211, Loss: 0.03350090608000755
Epoch 1, Sub-Epoch 212, Loss: 0.0371798500418663
Epoch 1, Sub-Epoch 213, Loss: 0.03780527785420418
Epoch 1, Sub-Epoch 214, Loss: 0.04173523187637329
Epoch 1, Sub-Epoch 215, Loss: 0.03960932791233063
Epoch 1, Sub-Epoch 216, Loss: 0.03975537046790123
Epoch 1, Sub-Epoch 217, Loss: 0.04399849846959114
Epoch 1, Sub-Epoch 218, Loss: 0.04139091074466705
Epoch 1, Sub-Epoch 219, Loss: 0.04240894690155983
Epoch 1, Sub-Epoch 220, Loss: 0.038554221391677856
Epoch 1, Sub-Epoch 221, Loss: 0.03700575605034828
Epoch 1, Sub-Epoch 222, Loss: 0.0362967848777771
Epoch 1, Sub-Epoch 223, Loss: 0.0389135368168354
Epoch 1, Sub-Epoch 224, Loss: 0.04007165506482124
Epoch 1, Sub-Epoch 225, Loss: 0.046799253672361374
Epoch 1, Sub-Epoch 226, Loss: 0.045950748026371
Epoch 1, Sub-Epoch 227, Loss: 0.04201776534318924
Epoch 1, Sub-Epoch 228, Loss: 0.04268866777420044
Epoch 1, Sub-Epoch 229, Loss: 0.039408281445503235
Epoch 1, Sub-Epoch 230, Loss: 0.039246682077646255
Epoch 1, Sub-Epoch 231, Loss: 0.038869135081768036
Epoch 1, Sub-Epoch 232, Loss: 0.036114223301410675
Epoch 1, Sub-Epoch 233, Loss: 0.03728219494223595
Epoch 1, Sub-Epoch 234, Loss: 0.04080502688884735
Epoch 1, Sub-Epoch 235, Loss: 0.043856240808963776
Epoch 1, Sub-Epoch 236, Loss: 0.045382704585790634
Epoch 1, Sub-Epoch 237, Loss: 0.037174444645643234
Epoch 1, Sub-Epoch 238, Loss: 0.03641026094555855
Epoch 1, Sub-Epoch 239, Loss: 0.03857126459479332
Epoch 1, Sub-Epoch 240, Loss: 0.03668375685811043
Epoch 1, Sub-Epoch 241, Loss: 0.036726903170347214
Epoch 1, Sub-Epoch 242, Loss: 0.04225503280758858
Epoch 1, Sub-Epoch 243, Loss: 0.04307779297232628
Epoch 1, Sub-Epoch 244, Loss: 0.03932733088731766
Epoch 1, Sub-Epoch 245, Loss: 0.04005960747599602
Epoch 1, Sub-Epoch 246, Loss: 0.03974607586860657
Epoch 1, Sub-Epoch 247, Loss: 0.04109473153948784
Epoch 1, Sub-Epoch 248, Loss: 0.04816775023937225
Epoch 1, Sub-Epoch 249, Loss: 0.037549398839473724
Epoch 1, Sub-Epoch 250, Loss: 0.043729834258556366
Epoch 1, Sub-Epoch 251, Loss: 0.040955089032649994
Epoch 1, Sub-Epoch 252, Loss: 0.04309042543172836
Epoch 1, Sub-Epoch 253, Loss: 0.03253357112407684
Epoch 1, Sub-Epoch 254, Loss: 0.042013633996248245
Epoch 1, Sub-Epoch 255, Loss: 0.03633462265133858
Epoch 1, Sub-Epoch 256, Loss: 0.04142555594444275
Epoch 1, Sub-Epoch 257, Loss: 0.038339171558618546
Epoch 1, Sub-Epoch 258, Loss: 0.03778707981109619
Epoch 1, Sub-Epoch 259, Loss: 0.04637036845088005
Epoch 1, Sub-Epoch 260, Loss: 0.03445947542786598
Epoch 1, Sub-Epoch 261, Loss: 0.041440438479185104
Epoch 1, Sub-Epoch 262, Loss: 0.03948559984564781
Epoch 1, Sub-Epoch 263, Loss: 0.035968195647001266
Epoch 1, Sub-Epoch 264, Loss: 0.03567502647638321
Epoch 1, Sub-Epoch 265, Loss: 0.03966110944747925
Epoch 1, Sub-Epoch 266, Loss: 0.043754346668720245
Epoch 1, Sub-Epoch 267, Loss: 0.03946344554424286
Epoch 1, Sub-Epoch 268, Loss: 0.04440850019454956
Epoch 1, Sub-Epoch 269, Loss: 0.04610281437635422
Epoch 1, Sub-Epoch 270, Loss: 0.03899496793746948
